phase,macro_phase,state,physical_purpose,reference_steps,active_channels,reference_active_duration_s,fsm_active_duration_s,entry_time_s,motion_start_s,motion_end_s,completion_time_s,completion_event,next_state
P01,1,INITIAL_LOAD_TRANSFER_FR,Build the v010 diagonal/load structure and approach needed before active FR lift.,1;2,rear_left_hip;front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,13.266666666666424,13.266666666666666,0.0,0.0,13.266666666666666,13.333333333333334,fr_lift_entry_ready,P02
P02,2,FR_ACTIVE_LIFT,Actively flex the FR leg until its wheel-bottom clearance increases.,3,front_right_knee,0.4666666666666419,0.466666666666665,13.333333333333334,13.333333333333334,13.799999999999999,13.866666666666667,fr_active_lift_observed,P03
P03,3,FR_CROSS_AND_PLACE,Carry FR through the front plane and establish FR obstacle-top contact.,4,front_left_knee;rear_left_hip;front_left_ankle;rear_left_ankle,1.1999999999999318,1.1999999999999993,13.866666666666667,13.866666666666667,15.066666666666666,15.133333333333333,fr_top_loaded,P04
P04,4,FL_UNLOAD_PREP,Change the v010 support geometry so FL can be actively lifted.,5;6,rear_left_hip;front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,4.799999999999727,4.800000000000001,15.133333333333333,15.133333333333333,19.933333333333334,20.0,fl_lift_entry_ready,P05
P05,5,FL_ACTIVE_LIFT_AND_PLACE,"Actively lift FL, clear the front plane, and commit the placement posture; top load latches during the immediately continuous P06 wheel advance.",7;8;9,front_left_hip;front_left_knee;front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,9.733333333332784,9.733333333333334,20.0,20.0,29.733333333333334,29.8,fl_front_cleared_and_placement_committed,P06
P06,6,FRONT_PAIR_ADVANCE,"Continue the v010 wheel relation without a hold, latch FL obstacle-top load, and advance until the rear pair nears the edge.",10,front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,25.533333333331882,25.533333333333335,29.8,29.8,55.333333333333336,55.4,fl_top_loaded_and_rear_pair_pre_edge,P07
P07,7,REAR_ENTRY_ALIGNMENT,Align the live front/rear geometry to the v010 first-rear entry without leaving the 15 percent envelope.,11;12;13,front_left_hip;front_right_knee;front_right_ankle,1.666666666666572,1.6666666666666643,55.4,55.4,57.06666666666666,57.13333333333333,rear_entry_aligned,P08
P08,8,FIRST_REAR_LOAD_TRANSFER,Load FL and prepare the FR+RL support structure that unloads RR first.,14,rear_left_hip,0.39999999999997726,0.3999999999999986,57.13333333333333,57.13333333333333,57.53333333333333,57.6,rr_unload_ready,P09
P09,9,RR_ACTIVE_LIFT_AND_PLACE,"Actively lift RR, clear the front plane, and finish the v010 placement action that establishes RR top load.",15;16;17;18,front_left_hip;front_left_knee;rear_left_hip;rear_left_knee;rear_right_hip;rear_right_knee;front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,7.200000000002284,7.199999999999996,57.6,57.6,64.8,64.93333333333334,rr_top_loaded,P10
P10,10,SECOND_REAR_TRANSFER_PREP,Establish the v010 FL+RR-related support/workspace for RL unloading.,19,rear_right_knee,0.13333333333343944,0.13333333333332575,64.93333333333334,64.93333333333334,65.06666666666666,65.13333333333333,rl_workspace_ready,P11
P11,11,TRANSFER_TOWARD_FR,Execute the v010 FR-directed load-transfer action before RL lift.,20,front_right_hip,0.46666666666703804,0.46666666666666856,65.13333333333333,65.13333333333333,65.6,65.66666666666667,rl_unload_ready,P12
P12,12,RL_ACTIVE_LIFT_AND_PLACE,"Actively lift RL, clear the front plane, and place RL on the obstacle top.",21;22;23;24,rear_left_hip;rear_left_knee;front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,4.66666666667038,4.666666666666657,65.66666666666667,65.66666666666667,70.33333333333333,70.4,rl_top_loaded,P13
P13,13,FINAL_ADVANCE_AND_RECOVERY,"Advance the whole body past the obstacle, recover the v010 final posture, and stop all wheels.",25;26,front_left_hip;front_left_knee;front_right_knee;rear_left_hip;rear_left_knee;rear_right_hip;rear_right_knee;front_left_ankle;front_right_ankle;rear_left_ankle;rear_right_ankle,17.800000000014165,17.799999999999997,70.4,70.4,88.2,108.06666666666666,final_clear_and_stopped,SUCCESS
