phase,file_function,current_condition,impact_path,classification,handling_B_C
P01-P13,src/wlr50_clean/fsm/controller.py:SensorFsmController._entry_compatibility,active servo matches historical start within max(2deg;15pct delta),legacy WAIT_ENTRY,REFERENCE_IMITATION,not constructed or invoked; TaskStageSupervisor uses live valid_start_conditions
P10,src/wlr50_clean/fsm/controller.py:SensorFsmController._entry_compatibility,RR knee signed positive rebound near 23.5853deg/s and historical angle,legacy P10 entry,REFERENCE_IMITATION,removed from B/C controller ownership; RR placement history and valid live contacts geometry safety required
P01,configs/fsm_states.yaml:P01,motion_endpoint_issued and fr_lift_entry_geometry,legacy completion,REFERENCE_IMITATION,clock endpoint removed as veto; live FR support and lift workspace retained as TASK_SEMANTIC
P02,configs/fsm_states.yaml:P02,reference_like_active_lift and clearance AIR history,legacy completion,TASK_SEMANTIC,replace naming and evaluate measured joint motion plus clearance and consecutive real AIR
P03,configs/fsm_states.yaml:P03,FR active lift crossing and top placement latches,legacy completion,TASK_SEMANTIC,independent current episode lift crossing placement evidence; no historical endpoint
P04,configs/fsm_states.yaml:P04,motion_endpoint_issued and FL workspace,legacy completion,REFERENCE_IMITATION,remove endpoint-issued prerequisite; real workspace and available support retained as TASK_SEMANTIC
P05,configs/fsm_states.yaml:P05,FL lift crossing top and motion_endpoint_issued,legacy completion,REFERENCE_IMITATION,retain physical leg events as TASK_SEMANTIC; remove nominal clock ownership of completion
P06,configs/fsm_states.yaml:P06,rear_pair_pre_edge_geometry,legacy completion,TASK_SEMANTIC,continuous rear wheel geometry region with current contact availability
P07,configs/fsm_states.yaml:P07,motion_endpoint_issued and historical rear_entry_alignment percentage,legacy completion,REFERENCE_IMITATION,remove historical posture and clock; rear task workspace set retained as TASK_SEMANTIC
P08,configs/fsm_states.yaml:P08,motion_endpoint_issued and RR unload geometry,legacy completion,REFERENCE_IMITATION,real available transfer and support retained as TASK_SEMANTIC; no mandatory RR tapping impulse
P09,src/wlr50_clean/fsm/controller.py:_drive_feedback_cycle_complete,finish historical rebound correction cycle before next phase,legacy completion,REFERENCE_IMITATION,reference rebound bias and timing not used in semantic nominal provider
P09,configs/fsm_states.yaml:P09,RR active lift crossing and placement,legacy completion,TASK_SEMANTIC,live event chain retained; lower rebound remains legal for P10
P10,configs/fsm_states.yaml:P10,motion_endpoint_issued and rl_workspace_geometry,legacy completion,REFERENCE_IMITATION,remove endpoint-issued veto; RL workspace is TASK_SEMANTIC goal not prerequisite for creating it
P11,configs/fsm_states.yaml:P11,reference_like_active_joint_change and rl_unload_entry_geometry,legacy completion,REFERENCE_IMITATION,no required historical FR joint delta or RL tap; real load transfer availability retained as TASK_SEMANTIC
P12,configs/fsm_states.yaml:P12,RL active lift crossing and placement after RR,legacy completion,TASK_SEMANTIC,live joint clearance AIR crossing top chain and RR_FIRST retained
P13,src/wlr50_clean/fsm/controller.py:_final_pose_compatibility,historical actual endpoint max(2deg;15pct phase delta),legacy final success,REFERENCE_IMITATION,explicit user home target engineering tolerance; current final geometry and stable stop
P13,src/wlr50_clean/fsm/guard_evaluator.py:_infer,measured wheel decay threshold from reference tail plus15pct,legacy final success,REFERENCE_IMITATION,retain genuine measured stop debounce as TASK_SEMANTIC with versioned physical threshold not reference percentage
P01-P13,configs/fsm_states.yaml:reference_sensor_envelope,recorded endpoint forces geometry times,legacy reference diagnostics,REFERENCE_IMITATION,not used as B/C entry completion reward or termination
P01-P13,src/wlr50_clean/ppo/isaac_fsm_backend.py:reset,exact phase snapshot effective entry fingerprint and controller equality,legacy curriculum acceptance,REFERENCE_IMITATION,new natural P01 reset checks current sensor physical validity; semantic curriculum must validate physical suitability
P01-P13,src/wlr50_clean/ppo/isaac_fsm_backend.py:reset,exact post-settle state and calibrated orientation equality,legacy reset acceptance,REFERENCE_IMITATION,no measured-state equality gate; fixed chassis level reference in B/C
P01-P13,src/wlr50_clean/ppo/cli.py:nonzero-residual-smoke,one full success plus13 own phase effects plus12 nonzero handoffs,legacy pretraining Gate B,REFERENCE_IMITATION,old code and failures archived unchanged; semantic functional smoke independent of task success
P01-P13,src/wlr50_clean/ppo/action_projection.py:ActionProjector.project,Recording30pct diagnostic computed but not clipping,projector diagnostic,REFERENCE_IMITATION,retained only as diagnostic; physical units set actual exploration cap
P01-P13,src/wlr50_clean/ppo/action_projection.py:ActionProjector.project,hard limits finite values safety margins slew and masks,actual actuator pipeline,PHYSICAL_LIMIT_OR_SAFETY,retained; raw and applied remain distinct with Gaussian likelihood on raw latent
P08-P11,configs/ppo_phase_action_masks_v2.yaml:phases,P08 FL/RR wheels only and P11 FR/RL only,legacy action availability,REFERENCE_IMITATION,new version opens all four wheels including FR for rolling transfer and damping
P01-P13,src/wlr50_clean/ppo/isaac_fsm_backend.py:step_physics,ACK logical nominal mapper input equality,atomic actuation integrity,PHYSICAL_LIMIT_OR_SAFETY,retained; checks nominal ownership not raw policy equals applied
P01-P13,src/wlr50_clean/infrastructure/servo_target_mapper.py:advance,tracking gain8 bounded10deg and sampled feedback,postnominal dynamic baseline,PHYSICAL_LIMIT_OR_SAFETY,unchanged first supervisor version; expose mapper state and mapped native target to actor; sensitivity logged
P01-P13,src/wlr50_clean/sensing/body_collision_detector.py,exact central-body obstacle contact with role map,physical failure detector,PHYSICAL_LIMIT_OR_SAFETY,unchanged sensing and collision roles; shared TaskEvaluator consumes actual evidence
P01-P13,src/wlr50_clean/sensing/guard_state.py:_build_guards,active lift joint change clearance AIR followed by crossing,physical wheel-only detector,TASK_SEMANTIC,new shared evaluator reconstructs same causal physical concept; no historical joint profile and no fake AIR
P01-P13,src/wlr50_clean/ppo/reward_v2.py and phase_objectives.py,reference attitude envelope and existing five families,legacy reward shaping,REFERENCE_IMITATION,new five-family semantic reward with fixed gravity level and physical task potential
P01-P13,src/wlr50_clean/ppo/semantic_backend.py:reset,locked scene initialization and live actuator limit verification,new reset physical safety,PHYSICAL_LIMIT_OR_SAFETY,retained; initialization writes explicitly excluded from credit
