"phase","credited_policy_decisions","credited_physics_ticks","PPO_updates_in_revision","current_version_real_coverage","task_completed","evidence_scope"
"P01",9,72,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","AT_LEAST_ONE_RECORDED_STAGE_GUARD_COMPLETION in Block1; not full-task success","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P02",450,3600,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","AT_LEAST_ONE_RECORDED_STAGE_GUARD_COMPLETION in Block1; current-PPO FR Q/C/P recorded","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P03",22,176,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","AT_LEAST_ONE_RECORDED_STAGE_GUARD_COMPLETION; FR current-PPO P=4, not current-support persistence","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P04",10,80,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","AT_LEAST_ONE_RECORDED_STAGE_GUARD_COMPLETION in Block1; no whole-task success","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P05",286,2281,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","AT_LEAST_ONE_RECORDED_STAGE_GUARD_COMPLETION; FL current-PPO P=3; prefix P excluded","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P06",610,4872,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","RECORDED_ADVANCEMENT P06→P07=2; may use qualified takeover, not proof all original workspace/preparation goals simultaneously complete","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P07",7,56,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","RECORDED_ADVANCEMENT P07→P08=7; 5 starts inherit frozen-prefix preparation; not credited P06 or full rear-chain completion","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P08",33,264,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","RECORDED_ADVANCEMENT P08→P09=7; rear hard Q/C/P tracked separately; no RR C/P observed","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P09",109,851,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_PPO_OPTIMIZED; saved140032","NOT_COMPLETED: 7 P09 terminal episodes across Blocks2–3; RR/RL no policy C/P; hard Q may be revoked","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
"P10",0,0,"12 GLOBAL_SHARED_UPDATES; not stage-specific","CUMULATIVE_BLOCKS1_3_C_NOT_VISITED; saved140032","UNVERIFIED_NOT_VISITED","Completed Blocks1–3 only, saved140032; phase ticks summed from three completed coverage tables, not8*N. 12 updates are GLOBAL SHARED, not independent per-phase. Prefix5778dec/46224ticks excluded; inherited events are not PPO achievements/current support; B2 remains separate2f942 diagnostic."
